"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"34","","Virtual Casino","463533060","1434900","31379","66","2237","10397","32","323.04",""
"35","","Art","460840740","27092700","18183","1001","44576","10337","607","17.01",""
"36","","R.E.P.O.","434828280","36071760","54667","2577","129183","9753","809","12.05",""
"37","","DJs","428362140","9703260","28048","476","8635","9608","217","44.15",""
"38","","MapleStory Worlds","415108560","7710960","34580","703","3877","9311","172","53.83",""
"39","","Music","408571380","23945400","53654","859","36967","9164","537","17.06",""
"40","","Slots","408480000","3569520","33132","165","3810","9162","80","114.44",""
"41","","Old School RuneScape","378911820","6984360","91646","329","6460","8499","156","54.25",""
"42","","World of Tanks","377165520","5892840","48450","289","7619","8460","132","64",""
"43","","ELDEN RING","376629540","21185280","27834","941","50440","8448","475","17.78",""
"44","","Arena Breakout: Infinite","373576080","10689600","24728","429","11348","8379","239","34.95",""
"45","","ARC Raiders","347141220","2781540","104346","771","6824","7786","62","124.8",""
"46","","Call of Duty: Black Ops 6","345188400","28576920","126323","1472","63541","7743","641","12.08",""
"47","","Retro","299419080","11067060","15543","378","11385","6716","248","27.05",""
"48","","Always On","294467340","12451080","12400","352","985","6605","279","23.65",""
"49","","I'm Only Sleeping","293498340","7502820","41986","309","5381","6583","168","39.12",""
"50","","Tibia","289718160","11724000","37538","476","6210","6498","262","24.71",""
"51","","Clash Royale","280617660","1956120","64134","104","18045","6294","43","143.46",""
"52","","ROBLOX","267861120","49878540","64326","2729","279584","6008","1118","5.37",""
"53","","Red Dead Redemption 2","265878900","17252640","30755","790","39684","5964","387","15.41",""
"54","","Destiny 2","255427500","16108140","172823","1257","30191","5729","361","15.86",""
"55","","Talk Shows & Podcasts","241051740","10288440","27656","459","12439","5407","230","23.43",""
"56","","Diablo IV","238513200","10122780","30849","598","15450","5350","227","23.56",""
"57","","Animals, Aquariums, and Zoos","236516880","13185720","9825","373","1103","5305","295","17.94",""
"58","","Albion Online","229601100","5011980","48231","177","4145","5150","112","45.81",""
"59","","Dune: Awakening","229534620","2656920","133744","995","6706","5148","59","86.39",""
"60","","DayZ","225207600","11178120","38869","496","19979","5051","250","20.15",""
"61","","Genshin Impact","217227060","14833320","34106","1123","33679","4872","332","14.64",""
"62","","FINAL FANTASY XIV ONLINE","210567060","15049260","20178","1146","18342","4723","337","13.99",""
"63","","Black Desert","208467480","5420940","48564","198","4036","4676","121","38.46",""
"64","","Star Citizen","202818600","5395080","38009","336","5235","4549","121","37.59",""
"65","","Chess","199310880","2361540","31894","120","6191","4470","52","84.4",""
"66","","Delta Force","191454180","8648040","23121","341","17136","4294","193","22.14",""
"67","","NBA 2K25","190033320","40425300","99150","2325","122798","4262","906","4.7",""
"68","","Games + Demos","184376580","22402860","72716","909","102298","4135","502","8.23",""
"69","","Poker","183298080","2811180","16321","186","2739","4111","63","65.2",""
"70","","Blue Prince","181814160","5131980","20546","242","9782","4078","115","35.43",""
"71","","GeoGuessr","180600180","1743000","117439","121","7995","4051","39","103.61",""
"72","","VRChat","179121600","4395780","52690","261","9885","4017","98","40.75",""
"73","","Wuthering Waves","176593080","8393820","47493","502","19972","3961","188","21.04",""
"74","","DARK SOULS III","170329980","4120740","41762","195","10393","3820","92","41.33",""
"75","","Sea of Thieves","167503800","9594540","21709","568","22111","3757","215","17.46",""
"76","","Baldur's Gate 3","164090220","10833480","20239","493","22589","3680","243","15.15",""
"77","","Crypto","159291720","4028400","19019","146","2056","3573","90","39.54",""
"78","","Call of Duty","158481840","92530500","23905","4431","273014","3554","2075","1.71",""
"79","","Path of Exile 2","154115580","6262620","13320","319","7191","3457","140","24.61",""
"80","","Heroes of Might and Magic III: The Restoration of Erathia","148937280","1327680","15037","70","858","3340","29","112.18",""
"81","","Honkai: Star Rail","146546340","9482760","57544","793","19307","3287","212","15.45",""
"82","","RoadCraft","144881820","3817440","59828","780","7778","3249","85","37.95",""
"83","","Age of Empires II","141723540","1792980","72819","107","3121","3179","40","79.04",""
"84","","Mobile Legends: Bang Bang","138891960","4704720","44933","190","14549","3115","105","29.52",""
"85","","7 Days to Die","138841380","6620940","28927","257","9951","3114","148","20.97",""
"86","","Valheim","138389760","3952140","126561","181","5977","3104","88","35.02",""
"87","","Dark and Darker","137377560","4084380","38027","196","5192","3081","91","33.63",""
"88","","The Sims 4","134435040","4522500","32820","219","13122","3015","101","29.73",""
"89","","Among Us","130587180","2516700","83558","179","17794","2929","56","51.89",""
"90","","Enshrouded","130099320","3374460","24823","227","5443","2918","75","38.55",""
"91","","FANTASY LIFE i: The Girl Who Steals Time","129965760","4726380","27564","572","7982","2915","106","27.5",""
"92","","REMATCH","127296360","2930640","108104","1321","15430","2855","65","43.44",""
"93","","Schedule I","127287780","11002860","48416","778","40918","2855","246","11.57",""
"94","","The Last of Us Part II: Remastered","126934740","4077540","26152","217","9373","2847","91","31.13",""
"95","","TEKKEN 8","125511000","3828480","76755","207","8763","2815","85","32.78",""
"96","","Magic: The Gathering","124253880","2615880","18161","140","4915","2787","58","47.5",""
"97","","Gray Zone Warfare","122807580","3101100","32123","392","4606","2754","69","39.6",""
"98","","HELLDIVERS 2","118925700","10465500","49670","1292","36867","2667","234","11.36",""
"99","","Deadlock","114763380","3462120","17783","224","4616","2574","77","33.15",""
"100","","Marbles on Stream","114705480","3739620","17429","146","4819","2573","83","30.67",""
