"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"72","","SCUM","194084640","4211520","64566","457","4810","4498","97","46.08",""
"73","","Magic: The Gathering","189702360","3603960","26731","265","7961","4397","83","52.64",""
"74","","Arena Breakout: Infinite","182612100","8223480","14655","360","9157","4233","190","22.21",""
"75","","Wuthering Waves","181542660","8944260","90105","1062","21141","4208","207","20.3",""
"76","","Chess","180156240","2211600","47497","123","5960","4176","51","81.46",""
"77","","FINAL FANTASY XIV ONLINE","174250260","12738420","31752","798","16518","4039","295","13.68",""
"78","","Call of Duty","170631060","100717620","46414","4609","291077","3955","2334","1.69",""
"79","","Five Nights at Freddy's: Secret of the Mimic","165362160","4181580","97636","1265","14503","3833","96","39.55",""
"80","","Lost Ark","160378680","3932820","23945","407","2477","3717","91","40.78",""
"81","","VRChat","156218940","4475880","17295","328","9952","3621","103","34.9",""
"82","","The Alters","148377660","3847080","83179","511","9870","3439","89","38.57",""
"83","","Sea of Thieves","138667140","8915100","17204","497","21223","3214","206","15.55",""
"84","","Heroes of Might and Magic III: The Restoration of Erathia","136548540","1147080","11958","77","810","3165","26","119.04",""
"85","","Deltarune","131114820","10465680","31518","1993","20813","3039","242","12.53",""
"86","","7 Days to Die","130890600","8394660","17515","461","13024","3034","194","15.59",""
"87","","Pokémon FireRed/LeafGreen","129367680","1310280","33289","70","2820","2998","30","98.73",""
"88","","Pokémon Scarlet/Violet","126027180","4871820","33240","224","8228","2921","112","25.87",""
"89","","Death Stranding: Director's Cut","124544940","2820360","18803","156","5310","2886","65","44.16",""
"90","","Zenless Zone Zero","123371460","9529200","31225","1368","25609","2859","220","12.95",""
"91","","Chrono Odyssey","122221920","2177040","90848","1359","8451","2833","50","56.14",""
"92","","Mobile Legends: Bang Bang","122124960","4368720","12150","209","13163","2830","101","27.95",""
"93","","Pools, Hot Tubs, and Beaches","121137660","1468320","25460","52","2001","2808","34","82.5",""
"94","","Star Citizen","117470880","4115940","9094","216","4185","2723","95","28.54",""
"95","","New Super Mario Bros. Wii","117279120","82080","101803","17","405","2718","1","1428.84",""
"96","","Marbles on Stream","116420700","3693480","44734","139","4575","2698","85","31.52",""
"97","","Poker","115558500","2569740","16448","171","2577","2678","59","44.97",""
"98","","GeoGuessr","112968420","1421160","77302","106","6492","2618","32","79.49",""
"99","","Delta Force","112140480","6155640","9182","252","11564","2599","142","18.22",""
"100","","MapleStory","103566180","2546040","11909","140","2241","2400","59","40.68",""
