"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","17350038720","205063680","1015475","7647","474996","389188","4599","84.61",""
"2","","League of Legends","6482987100","100647300","837571","4301","152435","145423","2257","64.41",""
"3","","Grand Theft Auto V","6058270800","135542760","354407","5223","239945","135896","3040","44.7",""
"4","","Marvel Rivals","4657099080","184655160","404413","12141","397159","104466","4142","25.22",""
"5","","VALORANT","3842626320","159921480","434221","5677","287705","86196","3587","24.03",""
"6","","Counter-Strike","3613597140","74613660","511328","3731","154490","81058","1673","48.43",""
"7","","World of Warcraft","3455016480","50510640","428678","2548","49679","77501","1133","68.4",""
"8","","Fortnite","3096929640","341427360","229573","14285","1102334","69469","7658","9.07",""
"9","","Escape from Tarkov","2490829380","39524640","213639","1667","32044","55873","886","63.02",""
"10","","Dota 2","2370585900","48020040","251940","2202","61583","53175","1077","49.37",""
"11","","Minecraft","2039676240","106055820","173774","4354","332294","45753","2379","19.23",""
"12","","EA Sports FC 25","1727465760","42554340","399293","3723","138537","38749","954","40.59",""
"13","","Path of Exile 2","1306142280","36996120","375188","1587","38415","29298","829","35.3",""
"14","","Call of Duty: Warzone","1122355680","106379280","82655","4658","262859","25176","2386","10.55",""
"15","","Teamfight Tactics","1117493040","13059480","66090","492","26807","25067","292","85.57",""
"16","","Special Events","1082293260","3927600","679713","945","7648","24277","88","275.56",""
"17","","Dead by Daylight","911316000","59265120","60276","2265","91949","20442","1329","15.38",""
"18","","Apex Legends","889703640","70215480","126326","2674","132828","19957","1575","12.67",""
"19","","Kings League","775667100","398220","695935","178","934","17399","8","1947.84",""
"20","","IRL","724869360","12644400","177965","456","28143","16259","283","57.33",""
"21","","Call of Duty: Black Ops 6","654354240","60587340","65265","3244","126305","14678","1359","10.8",""
"22","","ASMR","630495300","6716700","26207","224","3393","14143","150","93.87",""
"23","","Tom Clancy's Rainbow Six Siege X","623866140","60794100","62651","3643","206001","13994","1363","10.26",""
"24","","Delta Force","610240380","21270780","67786","843","31647","13688","477","28.69",""
"25","","Virtual Casino","604129200","1607880","81018","63","2219","13551","36","375.73",""
"26","","Project Zomboid","601429320","8229660","51612","313","14099","13491","184","73.08",""
"27","","Overwatch 2","580575840","29402940","289570","1137","73938","13023","659","19.75",""
"28","","Rocket League","578568000","35003940","160014","1511","171404","12978","785","16.53",""
"29","","Always On","554354700","14401260","31125","485","1143","12435","323","38.49",""
"30","","Street Fighter 6","552448740","8133300","180515","487","14719","12392","182","67.92",""
"31","","Rust","545813340","17304840","69549","1165","30960","12243","388","31.54",""
"32","","PUBG: BATTLEGROUNDS","523626060","29717040","68305","1231","51724","11745","666","17.62",""
"33","","Hearthstone","510483240","4737600","49490","235","7951","11450","106","107.75",""
"34","","Sports","503193660","5613240","104620","399","9533","11287","125","89.64",""
"35","","ELDEN RING","493634640","29102220","107986","1144","63467","11073","652","16.96",""
"36","","I'm Only Sleeping","457257840","10911060","119456","581","6862","10257","244","41.91",""
"37","","Music","456139380","24128400","130774","982","40337","10231","541","18.9",""
"38","","World of Tanks","452626560","8087700","45414","407","10495","10153","181","55.96",""
"39","","Anime Squad","449406180","9478440","32085","342","2633","10080","212","47.41",""
"40","","Art","443517420","27012060","30845","954","45120","9948","605","16.42",""
"41","","DJs","440079420","9169680","57325","536","8528","9871","205","47.99",""
"42","","Slots","433884420","3678480","58515","162","4213","9732","82","117.95",""
"43","","ROBLOX","429575160","59407740","129061","2851","353661","9636","1332","7.23",""
"44","","Hunt: Showdown 1896","390975480","11780640","64370","678","16111","8770","264","33.19",""
"45","","Genshin Impact","365490300","25501380","98320","2646","55645","8198","572","14.33",""
"46","","Retro","348577920","11935560","16240","409","11713","7819","267","29.2",""
"47","","Crypto","320025060","4729440","20171","174","3174","7178","106","67.67",""
"48","","DayZ","281584920","14490360","220245","618","26789","6316","325","19.43",""
"49","","Games + Demos","269842740","24562140","98271","940","103472","6053","550","10.99",""
"50","","Among Us","256205640","3328020","119304","243","23837","5747","74","76.98",""
"51","","Black Desert","255545040","7146660","14028","293","5517","5732","160","35.76",""
"52","","Kingdom Come: Deliverance","253777200","4529940","26343","244","6572","5692","101","56.02",""
"53","","Animals, Aquariums, and Zoos","247851660","10849140","16216","373","921","5559","243","22.85",""
"54","","Tibia","246660900","10480500","12575","444","5791","5532","235","23.54",""
"55","","NBA 2K25","242062560","48585720","25977","2441","127718","5429","1089","4.98",""
"56","","Dark and Darker","240259680","6583620","105192","257","7088","5389","147","36.49",""
"57","","Arena Breakout: Infinite","234356520","7138200","15488","302","7888","5256","160","32.83",""
"58","","Red Dead Redemption 2","228352620","20182860","33636","868","48994","5122","452","11.31",""
"59","","Talk Shows & Podcasts","227545020","9959340","39441","492","12686","5104","223","22.85",""
"60","","Wuthering Waves","218808240","12000960","40722","1199","23741","4908","269","18.23",""
"61","","Albion Online","215014800","4556280","12456","164","3895","4823","102","47.19",""
"62","","Chess","214034820","2731740","49648","150","7017","4801","61","78.35",""
"63","","The Simpsons: Hit & Run","201846300","1649760","13872","63","830","4527","37","122.35",""
"64","","MiSide","201310980","5210580","55999","303","22388","4515","116","38.64",""
"65","","Phasmophobia","200862720","27526380","90867","1368","95050","4505","617","7.3",""
"66","","Old School RuneScape","198849480","6154620","10063","229","5961","4460","138","32.31",""
"67","","FINAL FANTASY XIV ONLINE","198343860","17768580","17111","1222","20212","4449","398","11.16",""
"68","","Metin2","195529380","1946340","18060","117","1930","4386","43","100.46",""
"69","","Honkai: Star Rail","192942600","9245340","77191","1463","20961","4328","207","20.87",""
"70","","Lost Ark","184549560","4345920","15808","348","2740","4139","97","42.47",""
"71","","Monster Hunter: World","184327320","7616280","37750","288","13190","4134","170","24.2",""
"72","","Escape from Tarkov: Arena","184178340","1676880","56901","247","3564","4131","37","109.83",""
"73","","Destiny 2","178018740","12637320","93154","840","23781","3993","283","14.09",""
"74","","Palworld","175686300","12817560","20493","556","24597","3940","287","13.71",""
"75","","VRChat","172900440","4891740","38995","470","11358","3878","109","35.35",""
"76","","Heroes of Might and Magic III: The Restoration of Erathia","170101260","1375860","17792","74","876","3815","30","123.63",""
"77","","Warframe","168443220","11567400","88166","421","22198","3778","259","14.56",""
"78","","Schoolboy Runaway","161823360","751620","77278","56","4851","3629","16","215.3",""
"79","","Sea of Thieves","159467820","10118340","15177","459","24753","3577","226","15.76",""
"80","","SMITE 2","158058480","4277700","41994","270","10586","3545","95","36.95",""
"81","","Poppy Playtime","155522220","1637100","237412","1355","9696","3488","36","95",""
"82","","Diablo IV","143867280","8210220","71120","1230","16440","3227","184","17.52",""
"83","","Zenless Zone Zero","143645700","12191280","173518","987","25022","3222","273","11.78",""
"84","","GeoGuessr","140858340","1545660","209500","112","6260","3159","34","91.13",""
"85","","DYNASTY WARRIORS: ORIGINS","140022060","5127840","42034","498","8428","3140","115","27.31",""
"86","","Call of Duty","138761880","87962160","46464","3959","260093","3112","1973","1.58",""
"87","","Star Citizen","138469800","4155900","29339","205","3978","3106","93","33.32",""
"88","","Tournament Poker","137595660","1477560","24869","107","848","3086","33","93.12",""
"89","","Balatro","133468260","4090140","40596","209","17352","2993","91","32.63",""
"90","","Streamer Life Simulator 2","131381460","549660","115092","141","2694","2947","12","239.02",""
"91","","Throne and Liberty","131122380","5819940","14027","294","7112","2941","130","22.53",""
"92","","Lethal Company","130770840","7635120","43810","521","35200","2933","171","17.13",""
"93","","Magic: The Gathering","129922920","2606160","11739","110","4896","2914","58","49.85",""
"94","","Mobile Legends: Bang Bang","127548480","5111760","10239","204","17462","2861","114","24.95",""
"95","","7 Days to Die","119878020","7331040","171697","271","11113","2689","164","16.35",""
"96","","Dofus","117466440","3234180","13508","203","3543","2634","72","36.32",""
"97","","Madden NFL 25","116402460","24020520","25926","1503","81469","2611","538","4.85",""
"98","","Once Human","115874100","6878460","11453","326","8312","2599","154","16.85",""
"99","","Fast Food Simulator","114964500","1787400","72074","105","8484","2578","40","64.32",""
"100","","Trackmania","114296220","1314780","58929","84","3117","2563","29","86.93",""
