"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15266870940","180368340","1589565","8538","428075","379206","4480","84.64",""
"2","","Grand Theft Auto V","5382637680","117278820","389755","5264","206125","133696","2913","45.9",""
"3","","League of Legends","5334413400","78164100","621305","3750","125591","132499","1941","68.25",""
"4","","Counter-Strike","4160817180","71971500","1299442","3777","155682","103348","1787","57.81",""
"5","","VALORANT","3752511720","131531100","748396","7419","246618","93206","3267","28.53",""
"6","","World of Warcraft","2937614040","41020080","472728","2396","45537","72966","1018","71.61",""
"7","","Fortnite","2813012340","256446720","426079","16779","843359","69871","6369","10.97",""
"8","","Dota 2","2781829440","41772600","823762","2263","56716","69096","1037","66.59",""
"9","","Marvel Rivals","2314910640","120877980","503740","7248","283645","57499","3002","19.15",""
"10","","Kingdom Come: Deliverance II","2078691180","32171160","467823","3238","35668","51631","799","64.61",""
"11","","Minecraft","1737047040","92258340","200279","4187","302232","43145","2291","18.83",""
"12","","Tom Clancy's Rainbow Six Siege X","1488194940","52088400","311197","3286","187530","36964","1293","28.57",""
"13","","Rust","1113146580","15883080","242566","1309","27521","27648","394","70.08",""
"14","","Overwatch 2","1096440360","34207800","200361","3005","83187","27233","849","32.05",""
"15","","Apex Legends","1076380800","75382980","318774","5083","142170","26735","1872","14.28",""
"16","","Call of Duty: Warzone","1062971940","89765640","51995","4445","224144","26402","2229","11.84",""
"17","","EA Sports FC 25","940550280","31049340","132103","2140","111257","23361","771","30.29",""
"18","","Dead by Daylight","879889560","57170640","143650","3205","91149","21855","1420","15.39",""
"19","","Teamfight Tactics","877402320","8999640","82481","471","20351","21793","223","97.49",""
"20","","IRL","871125780","11467980","256760","702","26364","21637","284","75.96",""
"21","","Escape from Tarkov","856683780","22186980","55118","1087","20816","21278","551","38.61",""
"22","","Monster Hunter Wilds","748522620","27680700","405701","19325","84512","18592","687","27.04",""
"23","","Rocket League","698237460","30018180","207298","1526","155612","17343","745","23.26",""
"24","","Street Fighter 6","549758940","8464260","142820","813","16905","13655","210","64.95",""
"25","","Special Events","540195060","3608100","801818","3014","10737","13417","89","149.72",""
"26","","Sports","506864160","5159160","156175","381","9069","12589","128","98.25",""
"27","","ELDEN RING","505212120","24176100","67966","1101","57130","12548","600","20.9",""
"28","","Hearthstone","498815280","4584840","61669","280","7729","12389","113","108.8",""
"29","","ASMR","497357700","6005700","31300","254","3299","12353","149","82.81",""
"30","","Call of Duty: Black Ops 6","489631920","43090080","35920","2627","94086","12161","1070","11.36",""
"31","","PUBG: BATTLEGROUNDS","460574640","25943880","131759","1289","47918","11440","644","17.75",""
"32","","Anime Squad","448327800","8217600","30575","472","2519","11135","204","54.56",""
"33","","Always On","445767720","13198740","29985","636","1147","11072","327","33.77",""
"34","","Virtual Casino","435926160","1370160","44061","75","1938","10827","34","318.16",""
"35","","Delta Force","430506660","13947840","114283","890","23014","10693","346","30.87",""
"36","","Art","406224120","24841560","33465","1166","42951","10090","617","16.35",""
"37","","DayZ","405117780","12695580","45332","615","23990","10062","315","31.91",""
"38","","Path of Exile","404570280","5479620","169496","1311","6303","10048","136","73.83",""
"39","","Slots","399615840","3384660","58285","213","3928","9925","84","118.07",""
"40","","Destiny 2","392054220","21792840","120282","3888","37311","9738","541","17.99",""
"41","","Music","380092740","21235080","66147","888","36087","9440","527","17.9",""
"42","","DJs","368191920","8605380","37636","473","8391","9145","213","42.79",""
"43","","I'm Only Sleeping","367837200","8136240","130266","699","5237","9136","202","45.21",""
"44","","Kings League","361354920","233160","350740","66","451","8975","5","1549.82",""
"45","","Crypto","349038300","4649220","26144","218","4629","8669","115","75.07",""
"46","","Avowed","347225940","12496440","230564","2608","35675","8624","310","27.79",""
"47","","World of Tanks","333442260","5924280","49766","424","8819","8282","147","56.28",""
"48","","The Isle","326544060","1699920","47294","122","2726","8110","42","192.09",""
"49","","Retro","293536800","10625580","19458","508","11082","7291","263","27.63",""
"50","","FINAL FANTASY XIV ONLINE","281573280","13358760","91093","1001","17659","6993","331","21.08",""
"51","","Games + Demos","272446500","20988480","77670","1099","102063","6767","521","12.98",""
"52","","Sid Meier's Civilization VII","256631460","3160860","65269","425","6685","6374","78","81.19",""
"53","","Tibia","252917100","9851280","18429","607","5931","6282","244","25.67",""
"54","","Arena Breakout: Infinite","249387780","6099240","27858","341","6585","6194","151","40.89",""
"55","","Project Zomboid","243072120","5697840","32993","280","10531","6037","141","42.66",""
"56","","Albion Online","241254180","4567800","30214","257","4062","5992","113","52.82",""
"57","","ROBLOX","241157220","43917660","65432","2280","267454","5989","1090","5.49",""
"58","","Genshin Impact","223674840","16417680","22839","773","39330","5555","407","13.62",""
"59","","Talk Shows & Podcasts","215900940","8872320","21303","463","11895","5362","220","24.33",""
"60","","Animals, Aquariums, and Zoos","211751460","9747240","15052","408","915","5259","242","21.72",""
"61","","Chess","208526820","2282460","71411","140","6483","5179","56","91.36",""
"62","","Path of Exile 2","208400580","12176340","17198","696","16170","5176","302","17.12",""
"63","","Old School RuneScape","206132040","5647800","26008","243","5690","5120","140","36.5",""
"64","","Black Desert","204365880","5648940","22480","428","4424","5076","140","36.18",""
"65","","NBA 2K25","202577760","38865840","24621","2437","117720","5031","965","5.21",""
"66","","GeoGuessr","187527960","1428060","159584","158","6192","4657","35","131.32",""
"67","","Among Us","176691360","2911920","117079","248","21352","4388","72","60.68",""
"68","","Red Dead Redemption 2","171898080","17721480","35516","872","42713","4269","440","9.7",""
"69","","The Headliners","171889680","2681220","60906","231","15489","4269","66","64.11",""
"70","","War Thunder","167705040","7229160","58365","379","19819","4165","179","23.2",""
"71","","Phasmophobia","166721220","20710320","27634","1192","79094","4141","514","8.05",""
"72","","Lost Ark","165754260","3311700","14977","230","2619","4117","82","50.05",""
"73","","Brawl Stars","158547960","5861160","117160","403","40425","3938","145","27.05",""
"74","","VRChat","155717400","4364160","27478","299","10104","3867","108","35.68",""
"75","","Sea of Thieves","155359080","10711800","37457","883","27525","3858","266","14.5",""
"76","","Magic: The Gathering","154095840","2627940","26495","150","5094","3827","65","58.64",""
"77","","Poppy Playtime","145029240","3676860","39522","882","21227","3602","91","39.44",""
"78","","Elden Ring: Nightreign","142690620","916620","200205","1156","3563","3544","22","155.67",""
"79","","The Simpsons: Hit & Run","141335460","1046100","8425","73","773","3510","25","135.11",""
"80","","Monster Hunter: World","140651280","8504940","21176","683","17159","3493","211","16.54",""
"81","","Dark and Darker","137971140","4811220","8990","232","5927","3427","119","28.68",""
"82","","Wuthering Waves","136476000","6180660","31119","526","14760","3389","153","22.08",""
"83","","Warcraft III","136185180","1233240","86794","108","1498","3382","30","110.43",""
"84","","Honkai: Star Rail","135473460","6400020","54394","712","16641","3364","158","21.17",""
"85","","Heroes of Might and Magic III: The Restoration of Erathia","134960820","1192860","17703","106","823","3352","29","113.14",""
"86","","Super Mario Maker 2","134951940","684960","59104","51","1069","3352","17","197.02",""
"87","","Pokémon Scarlet/Violet","134867760","4301580","33468","604","7130","3349","106","31.35",""
"88","","ARK: Survival Ascended","130897320","5239680","125189","277","8369","3251","130","24.98",""
"89","","Hunt: Showdown 1896","129593280","8324880","11273","435","12155","3218","206","15.57",""
"90","","Pokémon FireRed/LeafGreen","124004640","1430640","30994","84","2896","3080","35","86.68",""
"91","","Streamer Life Simulator 2","122873520","1231200","52962","124","6299","3052","30","99.8",""
"92","","Call of Duty","122583000","72560760","65875","4120","227581","3044","1802","1.69",""
"93","","Mobile Legends: Bang Bang","122331300","4305000","32695","224","14332","3038","106","28.42",""
"94","","No Man's Sky","118897380","5458380","41012","370","12093","2953","135","21.78",""
"95","","Warframe","116697900","10463220","89992","542","20223","2898","259","11.15",""
"96","","Like a Dragon: Pirate Yakuza in Hawaii","115217220","3633000","65175","755","6260","2861","90","31.71",""
