"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"23","","R.E.P.O.","780745980","60154260","162990","4488","196308","18097","1394","12.98",""
"24","","Escape from Tarkov","750200040","18069240","55311","680","17725","17389","418","41.52",""
"25","","Tom Clancy's Rainbow Six Siege X","662557260","53405340","66247","3268","185813","15358","1237","12.41",""
"26","","Hearthstone","629503740","5345760","45897","381","8669","14592","123","117.76",""
"27","","ASMR","549726060","7102920","23213","237","3231","12742","164","77.39",""
"28","","Street Fighter 6","546117120","8719980","94697","484","15827","12659","202","62.63",""
"29","","Sports","529606620","7341780","88458","538","12843","12276","170","72.14",""
"30","","Last Epoch","512027700","6808800","188950","1595","8078","11868","157","75.2",""
"31","","Clair Obscur: Expedition 33","508899540","18412200","120239","3119","40368","11796","426","27.64",""
"32","","PUBG: BATTLEGROUNDS","490471140","26963760","145234","1190","46935","11369","625","18.19",""
"33","","Virtual Casino","473516220","1390380","33747","62","2073","10976","32","340.57",""
"34","","Monster Hunter Wilds","470153520","37417020","141743","4548","79411","10898","867","12.57",""
"35","","World of Tanks","453163620","6298200","57797","318","7789","10504","145","71.95",""
"36","","Blue Prince","450025860","5801760","61156","400","12326","10431","134","77.57",""
"37","","Art","437607000","26185980","19597","966","43651","10143","607","16.71",""
"38","","Rust","432094080","12496260","41270","912","21522","10016","289","34.58",""
"39","","DJs","404891340","9532560","26991","493","8638","9385","220","42.47",""
"40","","Music","398430300","23047140","60187","846","36233","9235","534","17.29",""
"41","","Red Dead Redemption 2","396054360","17511660","89130","872","38046","9180","405","22.62",""
"42","","Slots","381588480","3451920","37576","170","3637","8845","80","110.54",""
"43","","Rocket League","354351420","29047440","108088","1229","142397","8213","673","12.2",""
"44","","ELDEN RING","351330720","20547780","52571","869","46992","8143","476","17.1",""
"45","","Call of Duty: Black Ops 6","341780580","36743460","51411","2641","79780","7922","851","9.3",""
"46","","Dark and Darker","325903380","5751780","34856","376","6678","7554","133","56.66",""
"47","","Retro","310350960","10763040","20097","362","11106","7194","249","28.83",""
"48","","Marathon","308960460","2210520","522854","1597","6441","7161","51","139.77",""
"49","","FINAL FANTASY XIV ONLINE","307692600","24480360","47075","2513","21845","7132","567","12.57",""
"50","","Always On","304267140","13172940","14123","355","1112","7053","305","23.1",""
"51","","I'm Only Sleeping","298388040","8144160","24625","365","5480","6916","188","36.64",""
"52","","Tibia","264839400","10428420","13671","432","5878","6139","241","25.4",""
"53","","Half Sword","264377700","945480","80668","73","6300","6128","21","279.62",""
"54","","Old School RuneScape","259746360","6123240","13263","223","5938","6021","141","42.42",""
"55","","The First Berserker: Khazan","247615260","14060820","36914","957","18942","5739","325","17.61",""
"56","","Games + Demos","247362240","21783900","79571","881","96312","5733","504","11.36",""
"57","","Talk Shows & Podcasts","247287960","10445580","42818","565","12355","5732","242","23.67",""
"58","","Warcraft III","244673580","1461300","40335","74","1722","5671","33","167.44",""
"59","","DayZ","237604860","11556060","40099","508","20385","5507","267","20.56",""
"60","","Albion Online","237146460","4841640","12236","188","4044","5497","112","48.98",""
"61","","Chess","233791020","2451420","37280","133","6364","5419","56","95.37",""
"62","","ROBLOX","229025400","48545700","81072","2295","268767","5308","1125","4.72",""
"63","","Animals, Aquariums, and Zoos","226810800","12243600","9936","351","1055","5257","283","18.52",""
"64","","Delta Force","208249200","7898340","34298","496","14849","4827","183","26.37",""
"65","","NBA 2K25","202560120","39765420","18841","2077","115325","4695","921","5.09",""
"66","","DARK SOULS II: Scholar of the First Sin","202217100","2205420","30455","117","3821","4687","51","91.69",""
"67","","Genshin Impact","196852920","13139100","113513","944","31493","4563","304","14.98",""
"68","","Honkai: Star Rail","196134480","12839640","55143","1496","27736","4546","297","15.28",""
"69","","Black Desert","195483300","5272560","21420","197","4040","4531","122","37.08",""
"70","","Destiny 2","194385960","13221660","19736","870","25063","4505","306","14.7",""
"71","","ZLAN","191353620","112200","185310","145","162","4435","2","1705.47",""
"72","","RuneScape: Dragonwilds","187011240","4182000","109802","686","11521","4334","96","44.72",""
"73","","Arena Breakout: Infinite","184711920","6054240","50499","493","6660","4281","140","30.51",""
"74","","Wuthering Waves","184346220","7344060","56725","1042","17547","4273","170","25.1",""
"75","","Heroes of Might and Magic III: The Restoration of Erathia","176497980","1257660","32286","76","847","4091","29","140.34",""
"76","","Baldur's Gate 3","170122560","11090400","25272","640","24732","3943","257","15.34",""
"77","","Call of Duty","169671540","103197240","20319","7930","288289","3933","2392","1.64",""
"78","","VRChat","156097500","4254000","15740","255","9482","3618","98","36.69",""
"79","","TEKKEN 8","150215220","4391700","28226","369","10028","3482","101","34.2",""
"80","","Crypto","147891240","4228800","9800","159","2014","3428","98","34.97",""
"81","","Magic: The Gathering","146396160","2952060","15785","174","5308","3393","68","49.59",""
"82","","MLB The Show 25","145293120","6799620","22636","535","17781","3367","157","21.37",""
"83","","Drive Beyond Horizons","145194180","1759620","74233","171","5559","3365","40","82.51",""
"84","","Brawl Stars","144392940","5322960","70596","295","34353","3347","123","27.13",""
"85","","Sea of Thieves","143487300","9214980","29035","462","22064","3326","213","15.57",""
"86","","Split Fiction","137370660","7831380","48103","501","27125","3184","181","17.54",""
"87","","Phasmophobia","136461900","15476520","14385","1234","58357","3163","358","8.82",""
"88","","Dark Souls: Remastered","135736740","3312360","32215","161","7708","3146","76","40.98",""
"89","","Hunt: Showdown 1896","133916700","9800340","8242","489","12556","3104","227","13.66",""
"90","","Mobile Legends: Bang Bang","131953080","4697580","27318","201","15342","3058","108","28.09",""
"91","","Star Citizen","131485860","4586340","9168","220","4489","3047","106","28.67",""
"92","","REMATCH","127375980","1766760","76978","806","8199","2952","40","72.1",""
"93","","The Last of Us Part II: Remastered","126998760","5525460","20827","416","9805","2943","128","22.98",""
"94","","Baller League","124157760","28080","122664","33","104","2878","0","4421.57",""
"95","","Poker","119980680","2456160","15935","164","2674","2781","56","48.85",""
"96","","Project Zomboid","117058020","3755880","29424","155","6885","2713","87","31.17",""
"97","","The Last of Us Part II","116774220","4896120","37364","303","14095","2706","113","23.85",""
"98","","Assassin's Creed Shadows","115864260","19354260","36178","1528","39418","2685","448","5.99",""
"99","","Mir Tankov","115613940","2178300","21522","140","2685","2679","50","53.08",""
"100","","Clash Royale","110750520","1396800","41646","74","11717","2567","32","79.29",""
