"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16296829260","196328760","1496865","8262","447766","365563","4403","83.01",""
"2","","Grand Theft Auto V","6461000280","120856260","473258","4711","223051","144930","2710","53.46",""
"3","","Path of Exile 2","4632980220","74879280","1230241","8938","70809","103925","1679","61.87",""
"4","","Fortnite","4459334700","394641840","367335","19149","1269074","100029","8852","11.3",""
"5","","League of Legends","4289225640","92022720","529042","3317","148794","96214","2064","46.61",""
"6","","World of Warcraft","3609418200","51649560","257531","2937","50174","80964","1158","69.88",""
"7","","Marvel Rivals","3385326540","138980040","279261","11523","381840","75938","3117","24.36",""
"8","","Counter-Strike","3267429960","57428700","1006219","2524","123028","73293","1288","56.9",""
"9","","VALORANT","2556594540","131944320","217327","4208","258984","57348","2959","19.38",""
"10","","Dota 2","1910798640","44897520","211958","2043","58086","42862","1007","42.56",""
"11","","Minecraft","1730798520","90490080","275199","3798","288012","38824","2029","19.13",""
"12","","Call of Duty: Warzone","1279538700","117370020","77929","5470","275709","28702","2632","10.9",""
"13","","Special Events","1273033680","6903840","1870233","9241","19476","28556","154","184.4",""
"14","","Escape from Tarkov","1229022120","22577400","218036","2885","24712","27568","506","54.44",""
"15","","Rust","1169761500","17582520","191125","931","29619","26239","394","66.53",""
"16","","Teamfight Tactics","1163237700","14335800","99483","533","29496","26093","321","81.14",""
"17","","EA Sports FC 25","1117470720","34153680","238373","2057","111076","25066","766","32.72",""
"18","","Call of Duty: Black Ops 6","1081608060","88935240","86053","5034","171197","24262","1994","12.16",""
"19","","Dead by Daylight","1026694680","58077600","63889","2342","89361","23030","1302","17.68",""
"20","","World of Tanks","966834660","8210760","76034","438","10425","21687","184","117.75",""
"21","","Apex Legends","903608880","71980200","95711","2622","129542","20269","1614","12.55",""
"22","","IRL","840193020","12193740","150504","545","28139","18846","273","68.9",""
"23","","Overwatch 2","832177020","39727440","64955","2246","98309","18667","891","20.95",""
"24","","Virtual Casino","776408040","1903980","76124","78","2447","17416","42","407.78",""
"25","","Delta Force","712161540","22887660","185239","1488","42615","15974","513","31.12",""
"26","","ASMR","674589960","6913740","48295","202","3406","15132","155","97.57",""
"27","","Sports","653069580","6228120","1223691","400","9610","14649","139","104.86",""
"28","","I'm Only Sleeping","601983840","11944020","98722","494","7859","13503","267","50.4",""
"29","","PUBG: BATTLEGROUNDS","552763620","26082420","167019","1136","43739","12399","585","21.19",""
"30","","Tom Clancy's Rainbow Six Siege X","540967500","51585660","68878","2771","172144","12134","1157","10.49",""
"31","","Hearthstone","528558900","4891500","40778","306","7750","11856","109","108.06",""
"32","","Dofus","522135420","7686420","220006","1308","7625","11712","172","67.93",""
"33","","Music","501317940","25164180","120817","952","38892","11245","564","19.92",""
"34","","Slots","472228080","3829200","53060","173","4262","10592","85","123.32",""
"35","","Street Fighter 6","472107900","7860360","71771","529","14847","10590","176","60.06",""
"36","","Indiana Jones and the Great Circle","452590920","16307940","88711","2265","43157","10152","365","27.75",""
"37","","Always On","448330380","13088280","20602","358","1106","10056","293","34.25",""
"38","","Anime Squad","418355640","9321480","20835","278","2462","9384","209","44.88",""
"39","","DJs","416074080","9021360","52940","570","8142","9333","202","46.12",""
"40","","Art","394480860","23816580","17559","881","41362","8848","534","16.56",""
"41","","Rocket League","347130480","30783360","187679","1315","153044","7786","690","11.28",""
"42","","Arena Breakout: Infinite","333277800","6908760","24149","291","8140","7475","154","48.24",""
"43","","ELDEN RING","331164000","21736920","45568","1117","55344","7428","487","15.24",""
"44","","Retro","312538320","11521500","18703","393","10826","7010","258","27.13",""
"45","","Chess","305523300","2580360","73114","135","6224","6853","57","118.4",""
"46","","FINAL FANTASY XIV ONLINE","290207280","24086820","21673","1864","23032","6509","540","12.05",""
"47","","ROBLOX","278991960","50374320","113355","2588","284835","6258","1129","5.54",""
"48","","Project Zomboid","267908700","5559600","34676","312","11484","6009","124","48.19",""
"49","","Games + Demos","265235340","25025940","81782","952","100686","5949","561","10.6",""
"50","","Old School RuneScape","262299480","7270740","87447","386","6667","5883","163","36.08",""
"51","","Throne and Liberty","254572020","9961920","23410","577","10968","5710","223","25.55",""
"52","","Kings League","253362120","208560","119883","38","268","5683","4","1214.82",""
"53","","Talk Shows & Podcasts","253111200","10369920","70905","502","12264","5677","232","24.41",""
"54","","Tibia","252413640","9956640","33315","419","5583","5662","223","25.35",""
"55","","Zenless Zone Zero","246706560","29527680","42869","2793","29688","5534","662","8.36",""
"56","","Black Desert","245961120","6022320","41856","284","4595","5517","135","40.84",""
"57","","Animals, Aquariums, and Zoos","242976300","10512780","17286","278","886","5450","235","23.11",""
"58","","DayZ","240614460","13163400","15898","583","24948","5397","295","18.28",""
"59","","Genshin Impact","238757820","18582240","141786","1090","44847","5355","416","12.85",""
"60","","Crypto","235816380","4319280","12876","162","2289","5289","96","54.6",""
"61","","MiSide","234481560","3862200","76141","291","16529","5259","86","60.71",""
"62","","Phasmophobia","213629400","25783980","61350","1315","86836","4792","578","8.29",""
"63","","Albion Online","207457020","4276560","11538","153","3499","4653","95","48.51",""
"64","","NBA 2K25","205080780","44454360","10241","2287","109798","4600","997","4.61",""
"65","","The Simpsons: Hit & Run","201454440","1594320","7767","66","798","4518","35","126.36",""
"66","","S.T.A.L.K.E.R. 2: Heart of Chornobyl","196014180","14116020","34397","1341","27950","4396","316","13.89",""
"67","","Red Dead Redemption 2","185403300","16450980","23353","748","40106","4158","369","11.27",""
"68","","VRChat","169829460","4645140","26989","279","10620","3809","104","36.56",""
"69","","The Streamer Awards","163635840","212400","478333","683","1185","3670","4","770.41",""
"70","","Destiny 2","159965280","11659980","14766","556","22272","3588","261","13.72",""
"71","","Star Citizen","159284700","4149060","15405","259","4464","3573","93","38.39",""
"72","","Dark and Darker","156314040","4890960","16984","349","6320","3506","109","31.96",""
"73","","Hunt: Showdown 1896","155398320","10529460","13947","764","16225","3485","236","14.76",""
"74","","Get To Work","152121780","659220","42598","50","2244","3412","14","230.76",""
"75","","TEKKEN 8","148116360","5489520","36557","277","12320","3322","123","26.98",""
"76","","Farming Simulator 25","147321660","9211320","17998","516","13870","3304","206","15.99",""
"77","","Metin2","139620000","1978680","14097","128","1954","3131","44","70.56",""
"78","","Lost Ark","137211960","3580440","25233","215","2219","3077","80","38.32",""
"79","","Call of Duty","137002680","96169440","9948","4228","258485","3073","2157","1.42",""
"80","","Tournament Poker","135237060","1364100","25282","90","777","3033","30","99.14",""
"81","","Magic: The Gathering","134901120","2589660","19450","124","4634","3026","58","52.09",""
"82","","Sea of Thieves","130625340","8991420","12533","474","20845","2930","201","14.53",""
"83","","Among Us","128795820","2946480","75143","204","20887","2889","66","43.71",""
"84","","Honkai: Star Rail","128475960","5966340","34079","970","18119","2881","133","21.53",""
"85","","Super Mario Maker 2","127053900","700320","79821","36","978","2850","15","181.42",""
"86","","Once Human","126815220","5584800","13855","228","7132","2844","125","22.71",""
"87","","Strinova","126532560","4978920","75785","293","13512","2838","111","25.41",""
"88","","Mobile Legends: Bang Bang","121094700","4816200","21435","195","15705","2716","108","25.14",""
"89","","Infinity Nikki","119818020","8200200","26792","769","22610","2687","183","14.61",""
"90","","Madden NFL 25","119638020","23439600","44670","1392","73163","2683","525","5.1",""
"91","","Heroes of Might and Magic III: The Restoration of Erathia","119151480","1130820","13023","62","706","2672","25","105.37",""
"92","","Poker","118965780","2399460","29695","163","2892","2668","53","49.58",""
"93","","Palworld","118003980","7635420","45286","573","17415","2647","171","15.45",""
"94","","Pokémon Trading Card Game Pocket","116961300","2833560","37868","287","13732","2623","63","41.28",""
"95","","Deadlock","115414560","5149200","21828","282","8270","2588","115","22.41",""
"96","","Age of Empires II","114583080","1550220","21043","86","2663","2570","34","73.91",""
"97","","Ashes of Creation","114242880","924180","21909","168","967","2562","20","123.62",""
"98","","Warframe","112712580","11221200","52678","1076","23191","2528","251","10.04",""
"99","","World of Warships","110851080","2510460","11809","115","2896","2486","56","44.16",""
"100","","Super Mario Party Jamboree","110645640","1206180","62039","88","4250","2481","27","91.73",""
